Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 28.14      0.47     0.47       12     0.04     0.05  __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw
 15.57      0.73     0.26       12     0.02     0.06  __radiation_ifs_rrtm_MOD_gas_optics
  7.78      0.86     0.13      826     0.00     0.00  __radiation_two_stream_MOD_calc_ref_trans_sw
  7.78      0.99     0.13       10     0.01     0.02  __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw
  6.59      1.10     0.11       12     0.01     0.01  __radiation_aerosol_optics_MOD_add_aerosol_optics
  3.59      1.16     0.06       12     0.01     0.03  rrtm_gas_optical_depth_
  2.99      1.21     0.05     5026     0.00     0.00  __radiation_two_stream_MOD_calc_ref_trans_lw
  1.80      1.24     0.03       12     0.00     0.00  __radiation_ifs_rrtm_MOD_planck_function_atmos
  1.80      1.27     0.03       12     0.00     0.00  rrtm_taumol1_
  1.80      1.30     0.03       12     0.00     0.00  rrtm_taumol3_
  1.20      1.32     0.02     9860     0.00     0.00  __radiation_matrix_MOD_singlemat_x_vec_sw
  1.20      1.34     0.02     9847     0.00     0.00  __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates
  1.20      1.36     0.02      342     0.00     0.00  __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw
  1.20      1.38     0.02       12     0.00     0.00  rrtm_taumol11_
  1.20      1.40     0.02       12     0.00     0.00  rrtm_taumol4_
  1.20      1.42     0.02       12     0.00     0.00  rrtm_taumol5_
  1.20      1.44     0.02       12     0.00     0.00  rrtm_taumol7_
  1.20      1.46     0.02       12     0.00     0.00  rrtm_taumol8_
  1.20      1.48     0.02       12     0.00     0.00  rrtm_taumol9_
  1.20      1.50     0.02       10     0.00     0.00  srtm_taumol17_
  0.60      1.51     0.01    10909     0.00     0.00  __radiation_matrix_MOD_singlemat_x_vec_lw
  0.60      1.52     0.01       12     0.00     0.00  rrtm_prepare_gases_
  0.60      1.53     0.01       12     0.00     0.00  rrtm_setcoef_140gp_
  0.60      1.54     0.01       12     0.00     0.00  rrtm_taumol10_
  0.60      1.55     0.01       12     0.00     0.00  rrtm_taumol12_
  0.60      1.56     0.01       12     0.00     0.00  rrtm_taumol13_
  0.60      1.57     0.01       12     0.00     0.00  rrtm_taumol15_
  0.60      1.58     0.01       12     0.00     0.00  rrtm_taumol2_
  0.60      1.59     0.01       12     0.00     0.00  rrtm_taumol6_
  0.60      1.60     0.01       11     0.00     0.00  srtm_setcoef_
  0.60      1.61     0.01       10     0.00     0.00  __radiation_check_MOD_out_of_bounds_3d
  0.60      1.62     0.01       10     0.00     0.00  srtm_taumol16_
  0.60      1.63     0.01       10     0.00     0.00  srtm_taumol20_
  0.60      1.64     0.01       10     0.00     0.00  srtm_taumol21_
  0.60      1.65     0.01       10     0.00     0.00  srtm_taumol23_
  0.60      1.66     0.01       10     0.00     0.00  srtm_taumol24_
  0.60      1.67     0.01       10     0.00     0.00  srtm_taumol29_
  0.00      1.67     0.00   178742     0.00     0.00  __radiation_cloud_optics_MOD_delta_eddington_scat_od
