Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 17.42      0.27     0.27       12    22.50    34.06  __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw
 12.90      0.47     0.20       12    16.67    49.17  __radiation_ifs_rrtm_MOD_gas_optics
 12.90      0.67     0.20       12    16.67    30.10  __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw
  9.68      0.82     0.15       11    13.64    13.64  __radiation_aerosol_optics_MOD_add_aerosol_optics
  7.74      0.94     0.12     4817     0.02     0.02  __radiation_two_stream_MOD_calc_ref_trans_sw
  4.52      1.01     0.07       12     5.83     5.83  __radiation_ifs_rrtm_MOD_planck_function_atmos
  3.87      1.07     0.06      358     0.17     0.17  __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw
  2.58      1.11     0.04    21355     0.00     0.00  __radiation_matrix_MOD_singlemat_x_vec
  2.58      1.15     0.04    10404     0.00     0.00  __radiation_two_stream_MOD_calc_ref_trans_lw
  2.58      1.19     0.04      357     0.11     0.11  __radiation_adding_ica_lw_MOD_calc_fluxes_no_scattering_lw
  2.58      1.23     0.04       12     3.33     3.33  rrtm_taumol4_
  1.94      1.26     0.03       10     3.00     3.00  srtm_taumol27_
  1.29      1.28     0.02       12     1.67     1.67  __radiation_cloud_optics_MOD_cloud_optics
  1.29      1.30     0.02       12     1.67    15.83  rrtm_gas_optical_depth_
  1.29      1.32     0.02       12     1.67     1.67  rrtm_taumol1_
  1.29      1.34     0.02       12     1.67     1.67  rrtm_taumol3_
  1.29      1.36     0.02       12     1.67     1.67  rrtm_taumol5_
  1.29      1.38     0.02       12     1.67     1.67  rrtm_taumol8_
  1.29      1.40     0.02       12     1.67     9.17  srtm_gas_optical_depth_
  1.29      1.42     0.02       11     1.82     1.82  rrtm_taumol9_
  1.29      1.44     0.02       10     2.00     2.00  srtm_taumol21_
  0.65      1.45     0.01       12     0.83     0.83  rrtm_setcoef_140gp_
  0.65      1.46     0.01       12     0.83     0.83  rrtm_taumol11_
  0.65      1.47     0.01       12     0.83     0.83  rrtm_taumol12_
  0.65      1.48     0.01       12     0.83     0.83  rrtm_taumol7_
  0.65      1.49     0.01       12     0.83     0.83  srtm_setcoef_
  0.65      1.50     0.01       10     1.00     1.00  srtm_taumol17_
  0.65      1.51     0.01       10     1.00     1.00  srtm_taumol18_
  0.65      1.52     0.01       10     1.00     1.00  srtm_taumol23_
  0.65      1.53     0.01        9     1.11     1.11  srtm_taumol29_
  0.65      1.54     0.01        7     1.43     1.43  __radiation_gas_MOD_put_gas
  0.65      1.55     0.01                             _init
  0.00      1.55     0.00   192464     0.00     0.00  __radiation_cloud_optics_MOD_delta_eddington_scat_od
  0.00      1.55     0.00    98225     0.00     0.00  __radiation_overlap_MOD_calc_alpha_overlap_matrix
  0.00      1.55     0.00    48331     0.00     0.00  __radiation_aerosol_optics_data_MOD_calc_rh_index
  0.00      1.55     0.00    10472     0.00     0.00  __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates
  0.00      1.55     0.00     3977     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_sw
  0.00      1.55     0.00     3970     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_lw
  0.00      1.55     0.00      357     0.00     0.00  __radiation_aerosol_optics_MOD_delta_eddington_extensive_vec
  0.00      1.55     0.00      150     0.00     0.00  __radiation_spectral_definition_MOD_calc_planck_function_wavenumber
  0.00      1.55     0.00       72     0.00     0.00  __easy_netcdf_MOD_get_array_dimensions
  0.00      1.55     0.00       64     0.00     0.00  __easy_netcdf_MOD_get_variable_id
  0.00      1.55     0.00       31     0.00     0.00  __easy_netcdf_MOD_get_real_matrix
  0.00      1.55     0.00       24     0.00     0.00  __radiation_overlap_MOD_calc_overlap_matrices
  0.00      1.55     0.00       24     0.00     0.00  __radiation_regions_MOD_calc_region_properties
  0.00      1.55     0.00       23     0.00     0.00  __radiation_config_MOD_print_logical
  0.00      1.55     0.00       19     0.00     0.00  __radiation_check_MOD_out_of_bounds_2d
  0.00      1.55     0.00       14     0.00     0.00  __easy_netcdf_MOD_exists
  0.00      1.55     0.00       13     0.00     0.00  __easy_netcdf_MOD_define_variable
  0.00      1.55     0.00       13     0.00     0.00  __easy_netcdf_MOD_end_define_mode
  0.00      1.55     0.00       12     0.00     0.00  __easy_netcdf_MOD_get_rank
  0.00      1.55     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_surface_spectral
  0.00      1.55     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_toa_spectral
  0.00      1.55     0.00       12     0.00     0.00  __radiation_gas_MOD_assert_units_gas
  0.00      1.55     0.00       12     0.00     0.00  __radiation_gas_MOD_get_gas
  0.00      1.55     0.00       12     0.00     0.00  __radiation_gas_MOD_scale_gas
  0.00      1.55     0.00       12     0.00     0.00  __radiation_ifs_rrtm_MOD_planck_function_surf
  0.00      1.55     0.00       12     0.00   127.50  __radiation_interface_MOD_radiation
  0.00      1.55     0.00       12     0.00     0.00  __radiation_single_level_MOD_get_albedos
  0.00      1.55     0.00       12     0.00     0.00  rrtm_prepare_gases_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol10_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol13_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol14_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol15_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol16_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol2_
  0.00      1.55     0.00       12     0.00     0.00  rrtm_taumol6_
  0.00      1.55     0.00       11     0.00     0.00  __easy_netcdf_MOD_get_real_array3
