Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 25.65      0.49     0.49       10    49.00    64.78  __radiation_tripleclouds_sw_MOD_solver_tripleclouds_sw
 13.61      0.75     0.26       12    21.67    60.42  __radiation_ifs_rrtm_MOD_gas_optics
 10.47      0.95     0.20       12    16.67    31.85  __radiation_tripleclouds_lw_MOD_solver_tripleclouds_lw
  6.28      1.07     0.12       11    10.91    10.91  __radiation_aerosol_optics_MOD_add_aerosol_optics
  6.28      1.19     0.12     4696     0.03     0.03  __radiation_two_stream_MOD_calc_ref_trans_sw
  4.71      1.28     0.09    10098     0.01     0.01  __radiation_two_stream_MOD_calc_ref_trans_lw
  4.19      1.36     0.08    20692     0.00     0.00  __radiation_matrix_MOD_singlemat_x_vec
  4.19      1.44     0.08       12     6.67     6.67  __radiation_ifs_rrtm_MOD_planck_function_atmos
  3.14      1.50     0.06       12     5.00    18.33  rrtm_gas_optical_depth_
  2.09      1.54     0.04       12     3.33    11.25  srtm_gas_optical_depth_
  1.57      1.57     0.03      349     0.09     0.09  __radiation_adding_ica_lw_MOD_calc_fluxes_no_scattering_lw
  1.57      1.60     0.03       12     2.50     2.50  rrtm_taumol5_
  1.57      1.63     0.03       12     2.50     2.50  rrtm_taumol8_
  1.31      1.66     0.03       10     2.50     2.50  srtm_taumol17_
  1.05      1.68     0.02    10145     0.00     0.00  __radiation_liquid_optics_socrates_MOD_calc_liq_optics_socrates
  1.05      1.70     0.02      349     0.06     0.06  __radiation_two_stream_MOD_calc_no_scattering_transmittance_lw
  1.05      1.72     0.02       12     1.67     1.67  rrtm_taumol1_
  1.05      1.74     0.02       12     1.67     1.67  rrtm_taumol2_
  1.05      1.76     0.02       12     1.67     1.67  rrtm_taumol3_
  1.05      1.78     0.02       12     1.67     1.67  rrtm_taumol4_
  1.05      1.80     0.02       12     1.67     1.67  rrtm_taumol7_
  1.05      1.82     0.02       10     2.00     2.00  srtm_taumol20_
  0.52      1.83     0.01       12     0.83     2.50  __radiation_cloud_optics_MOD_cloud_optics
  0.52      1.84     0.01       12     0.83     0.83  rrtm_prepare_gases_
  0.52      1.85     0.01       12     0.83     0.83  rrtm_setcoef_140gp_
  0.52      1.86     0.01       12     0.83     0.83  srtm_setcoef_
  0.52      1.87     0.01       10     1.00     1.00  srtm_taumol16_
  0.52      1.88     0.01       10     1.00     1.00  srtm_taumol22_
  0.52      1.89     0.01       10     1.00     1.00  srtm_taumol23_
  0.52      1.90     0.01       10     1.00     1.00  srtm_taumol28_
  0.52      1.91     0.01       10     1.00     1.00  srtm_taumol29_
  0.00      1.91     0.00   189312     0.00     0.00  __radiation_cloud_optics_MOD_delta_eddington_scat_od
  0.00      1.91     0.00    90592     0.00     0.00  __radiation_overlap_MOD_calc_alpha_overlap_matrix
  0.00      1.91     0.00    46678     0.00     0.00  __radiation_aerosol_optics_data_MOD_calc_rh_index
  0.00      1.91     0.00     3929     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_lw
  0.00      1.91     0.00     3919     0.00     0.00  __radiation_ice_optics_fu_MOD_calc_ice_optics_fu_sw
  0.00      1.91     0.00      350     0.00     0.00  __radiation_aerosol_optics_MOD_delta_eddington_extensive_vec
  0.00      1.91     0.00      150     0.00     0.00  __radiation_spectral_definition_MOD_calc_planck_function_wavenumber
  0.00      1.91     0.00       72     0.00     0.00  __easy_netcdf_MOD_get_array_dimensions
  0.00      1.91     0.00       64     0.00     0.00  __easy_netcdf_MOD_get_variable_id
  0.00      1.91     0.00       31     0.00     0.00  __easy_netcdf_MOD_get_real_matrix
  0.00      1.91     0.00       23     0.00     0.00  __radiation_config_MOD_print_logical
  0.00      1.91     0.00       23     0.00     0.00  __radiation_overlap_MOD_calc_overlap_matrices
  0.00      1.91     0.00       22     0.00     0.00  __radiation_regions_MOD_calc_region_properties
  0.00      1.91     0.00       19     0.00     0.00  __radiation_check_MOD_out_of_bounds_2d
  0.00      1.91     0.00       14     0.00     0.00  __easy_netcdf_MOD_exists
  0.00      1.91     0.00       13     0.00     0.00  __easy_netcdf_MOD_define_variable
  0.00      1.91     0.00       13     0.00     0.00  __easy_netcdf_MOD_end_define_mode
  0.00      1.91     0.00       12     0.00     0.00  __easy_netcdf_MOD_get_rank
  0.00      1.91     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_surface_spectral
  0.00      1.91     0.00       12     0.00     0.00  __radiation_flux_MOD_calc_toa_spectral
  0.00      1.91     0.00       12     0.00     0.00  __radiation_gas_MOD_assert_units_gas
  0.00      1.91     0.00       12     0.00     0.00  __radiation_gas_MOD_get_gas
  0.00      1.91     0.00       12     0.00     0.00  __radiation_gas_MOD_scale_gas
  0.00      1.91     0.00       12     0.00     0.00  __radiation_ifs_rrtm_MOD_planck_function_surf
  0.00      1.91     0.00       12     0.00     0.00  __radiation_single_level_MOD_get_albedos
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol10_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol11_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol12_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol13_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol14_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol15_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol16_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol6_
  0.00      1.91     0.00       12     0.00     0.00  rrtm_taumol9_
  0.00      1.91     0.00       11     0.00     0.00  __easy_netcdf_MOD_get_real_array3
  0.00      1.91     0.00       11     0.00     0.00  __easy_netcdf_MOD_put_real_matrix
  0.00      1.91     0.00       11     0.00     0.00  __radiation_aerosol_optics_data_MOD_get_line
  0.00      1.91     0.00       10     0.00     0.00  __radiation_check_MOD_out_of_bounds_3d
  0.00      1.91     0.00       10     0.00     0.00  __radiation_cloud_MOD_crop_cloud_fraction
  0.00      1.91     0.00       10     0.00     0.00  __radiation_config_MOD_get_enum_code
  0.00      1.91     0.00       10     0.00     0.00  srtm_taumol18_
  0.00      1.91     0.00       10     0.00     0.00  srtm_taumol19_
